"Year","Area","Street","Street.2","Strange.HTML"
2011,"","Hurst St","Hurst St",""
2011,"","Hurst St","Hurst St",""
2011,"","Hurst St","Hurst St",""
2011,"","Hurst St  Birmingham","Hurst St, Birmingham",""
2011,"","Kings Heath High St","Kings Heath High St",""
2011,"","Knowle Rd  Small Heath  Bham","KNOWLE RD, SMALL HEATH, BHAM",""
2011,"","Ladypool Rd","ladypool Rd",""
2011,"","Ladypool Rd","ladypool Rd",""
2011,"","Ladywell Walk","Ladywell Walk",""
2011,"","Lea Hall Rd","Lea Hall RD",""
2011,"","Lea Hall Rd","Lea Hall rd",""
2011,"","Lea Vlg  Stechford","Lea Vlg, Stechford",""
2011,"","Lenches Close  Mosley","Lenches Close, Mosley",""
2011,"","Lime Tree Rd","Lime Tree Rd",""
2011,"","Lode Ln   Hermitage Rd","Lode Ln @ Hermitage Rd",""
2011,"","Long St","Long street",""
2011,"","Long St  Sparkhill","Long St. Sparkhill",""
2011,"","Longbridge Ln","Longbridge Ln",""
2011,"","Longmeadow Crescent Shard End   Bham","LONGMEADOW CRESCENT SHARD END , BHAM",""
2011,"","Maccadown Ln","Maccadown Ln",""
2011,"","Masshouse Ln","masshouse lane",""
2011,"","Meadwaym Stechford","Meadwaym Stechford",""
2011,"","Mickleover Rd  Bromford","Mickleover Rd, Bromford",""
2011,"","Moorcroft Rd","moorcroft road",""
2011,"","Moseley Rd","Moseley Rd",""
2011,"","Moseley Rd","moseley road",""
2011,"","Moseley Rd","moseley road",""
2011,"","Moseley Rd","moseley road",""
2011,"","Moseley Vlg","Moseley Vlg",""
2011,"","Moseley Vlg","Moseley Vlg",""
2011,"","Moseley Vlg  Alcester Rd","Moseley Vlg, Alcester road",""
2011,"","Mosley All Services Club  Church Rd  Moseley ","Mosley All Services Club, Church Rd, Moseley.",""
2011,"","Nearlands Close Quinton","Nearlands Close Quinton",""
2011,"","New St","new street",""
2011,"","Northfield High St","Northfield High St",""
