"Year","Area","Street","Street.2","Strange.HTML"
2011,"","Steelhouse Ln","Steelhouse Ln",""
2011,"","Steelhouse Ln","Steelhouse Ln",""
2011,"","Steelhouse Ln","steelhouse lane",""
2011,"","Steelhouse Ln","steelhouse lane",""
2011,"","Steelhouse Ln","Steelhouse Ln",""
2011,"","Steelhouse Ln Police Station","Steelhouse Ln Police station",""
2011,"","Steelhouse Ln  Birmingham","Steelhouse Ln, Birmingham",""
2011,"","Steelhouse Ln  City Centre  Birmingham","Steelhouse Ln, City Centre, Birmingham",""
2011,"","Stephenson St","Stephenson St",""
2011,"","Stephenson St","Stephenson St",""
2011,"","Stephenson St  Birmingham City","Stephenson St, Birmingham City",""
2011,"","Stephenson St  City Centre","Stephenson St, City Centre",""
2011,"","Stephensons St","Stephensons St",""
2011,"","Suffolk St Queensway","Suffolk St Queensway",""
2011,"","Sugar Suite  Broad St","Sugar Suite, Broad St",""
2011,"","Summer Ln","summer lane",""
2011,"","Summer Row","summer row",""
2011,"","Temple Row","Temple Row",""
2011,"","Temple Row","temple row",""
2011,"","Tennant St","Tennant St",""
2011,"","Terrace Rd  Handsworth","Terrace Rd, Handsworth",""
2011,"","Tesco Aston Ln","tesco aston lane",""
2011,"","Tesco Springhill","Tesco SpringHill",""
2011,"","The Parade Sutton Coldfield","The Parade Sutton Coldfield",""
2011,"","The Parade  Sutton Coldfield","The Parade, Sutton Coldfield",""
2011,"","The Ramp  Corporation St  Birmingham","The Ramp, Corporation St, Birmingham",""
2011,"","The Ramp ","The Ramp.",""
2011,"","Thornhill Rd  Birmingham","Thornhill Rd, Birmingham",""
2011,"","Thornhill Rd  Handsworth","Thornhill Rd, Handsworth",""
2011,"","Thorpe St At Hurst St","Thorpe St at Hurst St",""
2011,"","Thorpe St","Thorpe St",""
2011,"","Trocadero Public House O S","Trocadero Public house o/s",""
2011,"","Turners Pallets  Hayhole Rd","Turners Pallets, Hayhole road",""
2011,"","Upper Dean St","upper dean street",""
2011,"","Upper Dean St  Birmingham","Upper Dean St, Birmingham",""
2011,"","Upper Dean St  Birmingham City Centre","Upper Dean St, Birmingham City Centre",""
2011,"","Upper Dean St  City Centre","Upper Dean St, City Centre",""
2011,"","Upper Parade Sutton Coldfield","Upper parade Sutton Coldfield",""
2011,"","Upper Parade Sutton Coldfield","Upper Parade Sutton Coldfield",""
2011,"","Victoria Square   Bham","victoria square,  bham",""
2011,"","Victoria Square  City Centre ","Victoria Square, City Centre.",""
2011,"","Waiverley Park Handsworth","Waiverley park,Handsworth",""
2011,"","Walkabout Bar Broad St","walkabout bar broad st",""
2011,"","Walkabout Ph  Broad St  Birmingham","Walkabout PH, Broad St, Birmingham",""
2011,"","Walkabout Ph  Broad St  Birmingham","Walkabout PH, Broad St, Birmingham",""
2011,"","Walkabout  Broad St","Walkabout, Broad St",""
2011,"","Walsall Rd   Great Barr","Walsall road,  great barr",""
2011,"","Walsall Rd  Perry Barr","Walsall Rd, Perry Barr",""
2011,"","Warf Rd Kings Norton","warf road kings norton",""
2011,"","Warwards Ln","Warwards Ln",""
2011,"","Washington Drive  Handsworth Wood","Washington Drive, Handsworth Wood",""
2011,"","Washington St","Washington St",""
2011,"","Waterloo Rd  Smethwick","Waterloo Rd, Smethwick",""
2011,"","Waverhill Park  Handsworth","Waverhill Park, Handsworth",""
2011,"","Waverhill Rd  Handsworth","Waverhill Rd, Handsworth",""
2011,"","Way Entrance Villa Ground","way entrance villa ground",""
2011,"","Wellington Rd","Wellington Rd",""
2011,"","Witton Arms","Witton Arms",""
2011,"","Witton Rd","Witton Rd",""
2011,"","Witton Rd","Witton Rd",""
2011,"","Witton Rd Aston","Witton Rd Aston",""
2011,"","Wrottesley St","Wrottesley St",""
2011,"Coventry","Primrose Hill Coventry","primrose hill Coventry",""
2011,"","Albany Rd","Albany road",""
2011,"","Aldbourne Rd","Aldbourne Rd",""
2011,"","Aldermans Green Rd","aldermans green road",""
2011,"","Allesley Old Rd","Allesley Old Rd",""
2011,"","Almond Tree Ave","Almond Tree Ave",""
2011,"","Arbury Ave Coventry","arbury ave Coventry",""
2011,"","Arena Carpark A444","Arena carpark A444",""
2011,"","Argyle St Coventry","argyle st Coventry",""
2011,"","Armstrong Ave Stoke","Armstrong Ave Stoke",""
2011,"","Ashorne Close","Ashorne Close",""
2011,"","Attoxhall Rd","Attoxhall Rd",""
2011,"","Averley Rd   Daimler Green","averley road , daimler green",""
2011,"","Awson St","Awson St",""
2011,"","Bandals Surgery  Foleshill Rd","Bandals Surgery, Foleshill Rd",""
2011,"","Bell Green Rd Junction A444","bell green rd Junction A444",""
2011,"","Bell Green Rd  Coventry","Bell Green Rd, Coventry",""
2011,"","Bell Green Rd  Coventry","Bell Green Rd, Coventry",""
2011,"","Binley Rd","Binley Rd",""
2011,"","Binley Rd","Binley Rd",""
2011,"","Binley Rd","Binley Rd",""
2011,"","Binley Rd","Binley Rd",""
2011,"","Bishop St","bishop street",""
2011,"","Blackhorse Ln","Blackhorse lane",""
2011,"","Blythe Rd","Blythe Rd",""
2011,"","Bp Garage Ansty Rd","BP Garage Ansty road",""
2011,"","Bramble St Coventry","bramble st coventry",""
2011,"","Braod Park Rd  Coventry","Braod Park Rd, Coventry",""
2011,"","Bredon Ave  Coventry","Bredon Ave, Coventry",""
2011,"","Broadgate","Broadgate",""
2011,"","Bull Yard","Bull Yard",""
2011,"","Bushberry Ave","Bushberry Ave",""
2011,"","Butts Rd Coventry","butts road Coventry",""
2011,"","Cashs Ln","cashs lane",""
2011,"","Cauldon Rd","Cauldon road",""
2011,"","Charter Ave","Charter Ave",""
2011,"","Charter Ave Coventry","charter ave Coventry",""
2011,"","Chester St","Chester St",""
2011,"","Chesterton Rd","Chesterton Rd",""
2011,"","Cheveral Ave  Coventry","Cheveral Ave, Coventry",""
2011,"","Cliffbridge Rd","Cliffbridge Rd",""
2011,"","Clifton St  Coventry ","Clifton St ,Coventry.",""
2011,"","Coc St","Coc street",""
2011,"","Communal Landing At George Poole House  Coventry","Communal landing at George Poole House, Coventry",""
2011,"","Compton Rd","Compton road",""
2011,"","Concourse Near Mortimers","concourse near mortimers",""
2011,"","Cook St","cook st",""
2011,"","Corporation St","Corporation St",""
2011,"","Corporation St  Coventry ","Corporation St ,Coventry.",""
2011,"","Corporation St","Corporation St",""
2011,"","Coundon Rd","Coundon road",""
2011,"","Coventry","coventry",""
2011,"","Coventry Central Cells","Coventry Central cells",""
2011,"","Coventry Central Front Office","Coventry Central Front office",""
2011,"","Coventry Central Pol Stn","coventry central pol stn",""
2011,"","Coventry Central Police Station","coventry central police station",""
2011,"","Coventry Central Police Station","coventry central police station",""
2011,"","Coventry Central Ps","Coventry Central PS",""
2011,"","Coventry Central Ps","Coventry Central PS",""
2011,"","Coventry Railwat Station ","Coventry Railwat Station.",""
2011,"","Coventry Railway Station ","Coventry Railway Station.",""
2011,"","Coventry Train Station","coventry train station",""
2011,"","Cox St","Cox street",""
2011,"","Cross Rd","Cross Rd",""
2011,"","Devonshire Arms","devonshire arms",""
2011,"","Duckham Court","duckham court",""
2011,"","Earlsdon High St","Earlsdon High St",""
2011,"","Elms Pub  Birmingham Rd","Elms Pub, Birmingham road",""
2011,"","Fairfax St","fairfax street",""
2011,"","Far Gosford St","far gosford street",""
2011,"","Far Gosford St","Far Gosford St",""
2011,"","Farndale Ave","Farndale Ave",""
2011,"","Farndale Ave","Farndale Ave",""
2011,"","Foleshill Rd","Foleshill Rd",""
2011,"","Foleshill Rd","Foleshill Rd",""
2011,"","Foleshill Rd","Foleshill Rd",""
2011,"","Foleshill Rd","Foleshill Rd",""
2011,"","Foleshill Rd  Coventry","Foleshill road, Coventry",""
2011,"","Four Pounds Ave  Coventry","Four Pounds Ave, Coventry",""
2011,"","Friars Rd","FRiars road",""
2011,"","Front Of Coventry Central Police Station","front of Coventry Central police Station",""
2011,"","Front Office","Front office",""
2011,"","Front Office","Front Office",""
2011,"","Gala Bingo  Pool Meadow","Gala Bingo, Pool Meadow",""
2011,"","Gosford St","Gosford St",""
2011,"","Gosford St","Gosford street",""
2011,"","Gosford St","Gosford St",""
2011,"","Greyfriars St Coventry","greyfriars st Coventry",""
2011,"","Gulson Rd Coventry","gulson road Coventry",""
2011,"","Gulson Rd Coventry","Gulson Rd Coventry",""
2011,"","Hale St","hale st",""
2011,"","Hales St  Coventry","Hales St, Coventry",""
2011,"","Hartfrod St","Hartfrod street",""
2011,"","Hayle St","hayle street",""
2011,"","Hayles St","hayles street",""
2011,"","Hedgefield Way","Hedgefield Way",""
2011,"","Herald Way Coventry","herald way Coventry",""
2011,"","High St Coventry","high st Coventry",""
2011,"","High St","High St",""
2011,"","High St","High St",""
2011,"","Hill St","Hill St",""
2011,"","Hipswell Highway","Hipswell Highway",""
2011,"","Holmesdale Rd","holmesdale road",""
2011,"","Hurst Rd","hurst Rd",""
2011,"","Ibis Hotel","ibis hotel",""
2011,"","Ikea Car Park","Ikea Car Park",""
2011,"","Ikea Plaza","ikea plaza",""
2011,"","Iron Monger Row","iron monger row",""
2011,"","Jardine Crescent","jardine crescent",""
2011,"","Jardine Crescent","jardine crescent",""
2011,"","Jasrdine Crescent","Jasrdine Crescent",""
2011,"","Jd Wetherspoon Earlsdon","JD Wetherspoon Earlsdon",""
2011,"","Jordan Well","Jordan Well",""
2011,"","Jordan Well   Coventry","Jordan Well , Coventry",""
2011,"","Jubilee Cresent","Jubilee cresent",""
2011,"","Kirby Rd","Kirby Rd",""
2011,"","Lady Ln","Lady Ln",""
2011,"","Lambeth Close","Lambeth Close",""
2011,"","Leader Close","Leader Close",""
2011,"","Lidice Place","Lidice Place",""
2011,"","Lincoln St  Coventry","Lincoln St ,Coventry",""
2011,"","Littl Park St","Littl Park St",""
2011,"","Little Park St  Coventry ","Little park st ,Coventry.",""
2011,"","Little Park St  Coventry ","Little Park St ,Coventry.",""
2011,"","Little Park St Coventry","little park st Coventry",""
2011,"","Little Park St","Little Park St",""
2011,"","Little Park St","Little Park St",""
2011,"","Little Park St","Little Park street",""
2011,"","Little Park St","little park street",""
2011,"","Little Park St","Little Park St",""
2011,"","Little Park St","Little Park St",""
2011,"","Little Park St","Little Park St",""
2011,"","Little Park St","Little Park St",""
2011,"","Little Park St","little park street",""
2011,"","London Rd","London Rd",""
2011,"","London Rd","London Rd",""
2011,"","Longford Rd","Longford Rd",""
2011,"","Lower Ford St","Lower Ford st",""
2011,"","Lower Ford St","lower ford street",""
2011,"","Lower Holyhead D Jtn With Spon St","lower holyhead d jtn with spon st",""
2011,"","Lower Holyhead Rd Coventry","lower holyhead rd Coventry",""
2011,"","Lower Holyhead Rd Coventry","lower holyhead road Coventry",""
2011,"","Lower Precinct Coventry","Lower Precinct Coventry",""
2011,"","Mafo","MAFO",""
2011,"","Manor House Drive","Manor house drive",""
2011,"","Market Way","Market Way",""
2011,"","Mary Slessor St","mary slessor st",""
2011,"","Masser Rd","masser road",""
2011,"","Mcdonalds Restaurant A45  Coventry ","McDonalds Restaurant A45 ,Coventry.",""
2011,"","Memorial Park  Coventry","Memorial Park, Coventry",""
2011,"","Middle Ride","Middle Ride",""
2011,"","Mile Ln","Mile Ln",""
2011,"","Mile Ln","Mile lane",""
2011,"","Millenium Place","Millenium Place",""
2011,"","Millenium Place","Millenium Place",""
2011,"","Mint Casino  King William St","Mint Casino, King William St",""
2011,"","Miranda Close","Miranda Close",""
2011,"","Morris Rd","morris road",""
2011,"","Motor Museum","motor museum",""
2011,"","New Union St","new union st",""
2011,"","Norman Place Rd","Norman place road",""
2011,"","Northy Rd","Northy Rd",""
2011,"","O S Ccfo","o/s CCFO",""
2011,"","O S Coventry Central Police Station","o/s coventry central police station",""
2011,"","O S Gosford Arms","o/s Gosford Arms",""
2011,"","Oak Gosford St","Oak Gosford St",""
2011,"","Outside Coventry Central Ps","Outside Coventry Central PS",""
2011,"","Outside Foleshill Ps","Outside Foleshill PS",""
2011,"","Outside Front Of Coventry Central Police Station ","Outside front of Coventry Central Police Station.",""
2011,"","Outside Heat Bar","Outside heat Bar",""
2011,"","Outside Kasbars","outside kasbars",""
2011,"","Outside Of The Jewson Stand  Richo Arena  Coventry","Outside of the Jewson Stand, Richo arena, Coventry",""
2011,"","Owenford Rd","owenford road",""
2011,"","Palm Tree Ave  Wood End","Palm Tree Ave, Wood End",""
2011,"","Palmer Ln   Coventry ","Palmer Ln , Coventry.",""
2011,"","Palmer Ln   Coventry ","Palmer Ln , Coventry.",""
2011,"","Palmer Ln   Coventry ","Palmer Ln , Coventry.",""
2011,"","Penruddick Drive  Coventry","Penruddick Drive, Coventry",""
2011,"","Plymouth Close","Plymouth close",""
2011,"","Pool Meadow","pool meadow",""
2011,"","Pool Meadow Bus Station","Pool Meadow Bus Station",""
2011,"","Pool Meadow Bus Stn","pool meadow bus stn",""
2011,"","Poolmeadow","Poolmeadow",""
2011,"","Poolmeadow Bus Station","Poolmeadow bus station",""
2011,"","Poolmeadow Bus Station","Poolmeadow bus station",""
2011,"","Poppy Court  Remembrance Rd  Willenhall  Coventry","Poppy Court, Remembrance Rd, Willenhall, Coventry",""
2011,"","Primrose Hill St","Primrose Hill St",""
2011,"","Primrose Hill St","Primrose Hill St",""
2011,"","Primrose Hill St","Primrose Hill St",""
2011,"","Primrose Hill St  Coventry ","Primrose Hill St ,Coventry.",""
2011,"","Princethorpe Way","Princethorpe way",""
2011,"","Priory Fields  Coventry","Priory Fields, Coventry",""
2011,"","Priory Gardens","Priory Gardens",""
2011,"","Priory St","Priory St",""
2011,"","Puma Way","puma way",""
2011,"","Queen Mary S Rd  Foleshill  Coventry ","Queen Mary's Rd ,Foleshill ,Coventry.",""
2011,"","Queen Marys Rd Coventry","queen marys road Coventry",""
2011,"","Queen Victoria Rd","Queen Victoria Rd",""
2011,"","Radford Rd","Radford Rd",""
2011,"","Radford Rd","Radford road",""
2011,"","Raglan St","raglan street",""
2011,"","Red Ln","Red lane",""
2011,"","Remembrance Rd","Remembrance Rd",""
2011,"","Richo Areana","richo areana",""
2011,"","Richo Areana","richo areana",""
2011,"","Richo Arena  Coventry","Richo arena, Coventry",""
2011,"","Ricoh Arena","Ricoh Arena",""
2011,"","Ricoh Arena","Ricoh Arena",""
2011,"","Ricoh Arena","Ricoh Arena",""
2011,"","Ridgethorpe  Willenhall  Coventry","Ridgethorpe, Willenhall, Coventry",""
2011,"","Rileys Square  Bell Green","Rileys Square, Bell Green",""
2011,"","Ring Rd","Ring Rd",""
2011,"","Riverwalk Walk Wood End","Riverwalk Walk Wood End",""
2011,"","Roland Ave  Holbrooks  Coventry ","Roland Ave ,Holbrooks ,Coventry.",""
2011,"","Rotherhanm Rd","rotherhanm road",""
2011,"","Sainsburys  Trinity St  Coventry ","Sainsburys ,Trinity St ,Coventry.",""
2011,"","Scots Ln","Scots Ln",""
2011,"","Sewall Highway","Sewall Highway",""
2011,"","Sewall Highway","sewall highway",""
2011,"","Sewall Highway Coventry","sewall highway Coventry",""
2011,"","Silver St  Coventry ","Silver St ,Coventry.",""
2011,"","Sky Blue Way","Sky Blue Way",""
2011,"","Sky Dome","sky dome",""
2011,"","Sky Dome","sky dome",""
2011,"","Sky Dome","sky dome",""
2011,"","Sky Dome","sky dome",""
2011,"","Sky Dome","sky dome",""
2011,"","Sky Dome","sky dome",""
2011,"","Sky Dome","Sky dome",""
2011,"","Sky Dome","Sky dome",""
2011,"","Sky Dome Concourse","Sky Dome Concourse",""
2011,"","Sky Dome Concourse","Sky Dome Concourse",""
2011,"","Sky Dome Concourse","Sky Dome Concourse",""
2011,"","Sky Dome Concourse","sky dome concourse",""
2011,"","Sky Dome Concourse","sky dome concourse",""
2011,"","Sky Dome Concourse Covenmtry","sky dome concourse Covenmtry",""
2011,"","Sky Dome Concourse Coventry","sky dome concourse Coventry",""
2011,"","Sky Dome Concourse ","Sky Dome concourse.",""
2011,"","Sky Dome  Coventry","Sky Dome, Coventry",""
2011,"","Sky Dome  Coventry City Centre","Sky Dome, Coventry City centre",""
2011,"","Sky Dome ","Sky Dome.",""
2011,"","Sky Dome ","sky dome.",""
2011,"","Sky Dome ","sky dome.",""
2011,"","Skydome","Skydome",""
2011,"","Skydome","Skydome",""
2011,"","Skydome","skydome",""
2011,"","Skydome","Skydome",""
2011,"","Skydome","Skydome",""
2011,"","Skydome","Skydome",""
2011,"","Skydome   Coventry ","Skydome , Coventry.",""
2011,"","Skydome Car Park","Skydome Car Park",""
2011,"","Skydome Car Park","Skydome Car Park",""
2011,"","Skydome Complex","Skydome complex",""
2011,"","Skydome Complex","Skydome Complex",""
2011,"","Skydome Complex","skydome complex",""
2011,"","Skydome Complex  Coventry","Skydome Complex, Coventry",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","Skydome Concourse",""
2011,"","Skydome Concourse","Skydome Concourse",""
2011,"","Skydome Concourse","Skydome Concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","skydome concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse","Skydome Concourse",""
2011,"","Skydome Concourse","Skydome Concourse",""
2011,"","Skydome Concourse","Skydome concourse",""
2011,"","Skydome Concourse  Coventry","Skydome concourse ,Coventry",""
2011,"","Skydome Concourse   ","Skydome concourse...",""
2011,"","Skydome Coventry","skydome Coventry",""
2011,"","Skydome Coventry","Skydome Coventry",""
2011,"","Skydome Coventry City Centre","Skydome Coventry City Centre",""
2011,"","Skydome  Coventry","SkyDome, Coventry",""
2011,"","Skydome  Coventry","Skydome, Coventry",""
2011,"","Sorell Close","sorell Close",""
2011,"","Southbank Rd  Coventry ","Southbank Rd ,Coventry.",""
2011,"","Spom St Coventry","spom st coventry",""
2011,"","Spon End","Spon End",""
2011,"","Spon End  Coventry","Spon End, Coventry",""
2011,"","Spon St  Coventry","Spon St ,Coventry",""
2011,"","Spon St  Coventry ","Spon St ,Coventry.",""
2011,"","Spon St Coventry","SPON ST Coventry",""
2011,"","Spon St Coventry","spon st Coventry",""
2011,"","Spon St Coventry","spon st Coventry",""
2011,"","Spon St Coventry","spon st Coventry",""
2011,"","Spon St Coventry","spon st Coventry",""
2011,"","Spon St Coventry","spon st Coventry",""
2011,"","Spon St Coventry","spon st Coventry",""
2011,"","Spon St","Spon street",""
2011,"","Spon St","Spon STreet",""
2011,"","Spon St","Spon St",""
2011,"","Spon St","spon street",""
2011,"","Spon St","spon street",""
2011,"","Spon St","Spon STreet",""
2011,"","St Georges Rd","St georges road",""
2011,"","St Georges Rd  Stoke","St Georges Rd, Stoke",""
2011,"","St Lukes Rd Coventry","St Lukes Rd Coventry",""
2011,"","Stonet Stanton Rd Police Station","Stonet Stanton Rd Police Station",""
2011,"","Stoney Stanton Rd Police Station  Coventry","Stoney Stanton Rd Police Station, Coventry",""
2011,"","Swanswell Park","Swanswell Park",""
2011,"","Tachbrook Close","Tachbrook Close",""
2011,"","Tarquin Close  Coventry","Tarquin Close, Coventry",""
2011,"","Terry Rd","Terry Rd",""
2011,"","Terry Rd  Coventry","Terry Rd, Coventry",""
2011,"","The Bull Yard City Centre","The Bull Yard City Centre",""
2011,"","The Bullyard","The Bullyard",""
2011,"","The Burges","The Burges",""
2011,"","The Burgess","The Burgess",""
2011,"","The Burgess","The Burgess",""
2011,"","The Burgess","the burgess",""
2011,"","The Butts Coventry","the butts Coventry",""
2011,"","The Butts Retreat Ph","The Butts Retreat PH",""
2011,"","The Croft Longford","The Croft Longford",""
2011,"","The Forum Medical Centre  Coventry","The Forum medical centre, Coventry",""
2011,"","Thimbler Rd","Thimbler Rd",""
2011,"","Tile Hill Ln Coventry","tile hill lane coventry",""
2011,"","Torrington Ave","Torrington Ave",""
2011,"","Trinity Point Link","Trinity point Link",""
2011,"","Trinity St","trinity street",""
2011,"","Trinity St","trinity street",""
2011,"","Trinity St","Trinity St",""
2011,"","Trinity St City Centre Coventry","trinity street city centre coventry",""
2011,"","University Hospital","University Hospital",""
2011,"","University Hospital","University Hospital",""
2011,"","University Hospital Coventry","University Hospital Coventry",""
2011,"","Unniversity Of Warwick  Coventry","Unniversity of Warwick, Coventry",""
2011,"","Upper Spon St","upper spon st",""
2011,"","Vine St","Vine St",""
2011,"","Vine St","Vine St",""
2011,"","Vinecote Rd","Vinecote Rd",""
2011,"","Wallace Rd","Wallace Rd",""
2011,"","Walsgrave Hospital","Walsgrave hospital",""
2011,"","Warwick Row","Warwick Row",""
2011,"","Warwick University","Warwick university",""
2011,"","West Orchard","West Orchard",""
2011,"","West Orchards Circulatory Rd","West Orchards Circulatory Rd",""
2011,"","White St","White street",""
2011,"","Willenhall Ln Coventry","willenhall lane coventry",""
2011,"","Willenhall Police Station Front Office","Willenhall Police Station Front Office",""
2011,"","Willenhall Ps","Willenhall PS",""
2011,"","Winnalthorpe","Winnalthorpe",""
2011,"","Wood Way Ln Coventry","wood way lane Coventry",""
2011,"","Wroxall Drive","Wroxall Drive",""
2011,"","Wroxhall Drive","Wroxhall Drive",""
2011,"Dudley","Albion St Brierley Hill","albion street brierley hill",""
2011,"","Amblecote High St Stourbridge","Amblecote High St Stourbridge",""
2011,"","Arley Court","Arley Court",""
2011,"","Baptist End Rd Netherton ","Baptist End Rd Netherton.",""
2011,"","Bell St  Stourbridge","Bell St, Stourbridge",""
2011,"","Bell St","bell street",""
2011,"","Bell St Stourbridge","Bell St,Stourbridge",""
2011,"","Bhps","BHPS",""
2011,"","Birmingham St  Stourbridge","Birmingham St, Stourbridge",""
2011,"","Bramford Arms","Bramford Arms",""
2011,"","Brettle Ln","Brettle Ln",""
2011,"","Brickhouse Rd","Brickhouse Rd",""
2011,"","Brisbane Rd  Smethwick","Brisbane Rd, Smethwick",""
2011,"","Broadway Stourbridge","Broadway Stourbridge",""
2011,"","Broadway  Stourbridge","Broadway, Stourbridge",""
2011,"","Broadway  Stourbridge","Broadway, Stourbridge",""
2011,"","Burmese Way  Rowley Regis","Burmese Way, Rowley Regis",""
2011,"","Bus Station  Dudley","Bus station, dudley",""
2011,"","Carpark Of Maybrook Hosue In Halesowen","Carpark of Maybrook Hosue in Halesowen",""
2011,"","Carpark Of The Barley Mow  High St Wollaston","Carpark of the Barley Mow  High St Wollaston",""
2011,"","Castlegate Dudley","castlegate dudley",""
2011,"","Cinder Bank Island Netherton","Cinder Bank Island Netherton",""
2011,"","Court St","Court St",""
2011,"","Courthouse Ph  Sedgeley","Courthouse PH, sedgeley",""
2011,"","Crabmill Carpark Oldswinford","Crabmill carpark Oldswinford",""
2011,"","Crompton Rd","Crompton Rd",""
2011,"","Crown Centre  Stourbridge","Crown Centre, stourbridge",""
2011,"","Dudley Bus Station","Dudley Bus Station",""
2011,"","Dudley Police Station","dudley Police Station",""
2011,"","Dudley Rd","dudley road",""
2011,"","Dudley Rd  Brierley Hill","Dudley Rd, Brierley Hill",""
2011,"","Edward Rutland Ph  High St  Stourbridge","Edward Rutland PH, High St, Stourbridge",""
2011,"","Enville Rd","Enville Rd",""
2011,"","Fern Rd","Fern Rd",""
2011,"","Foster St Stourbridge","Foster St,Stourbridge",""
2011,"","Front Office Bhps","Front Office BHPS",""
2011,"","Front Office  Stourbridge","Front office, Stourbridge",""
2011,"","Front Office  Stourbridge Police Station ","Front Office, Stourbridge Police station.",""
2011,"","Hagley Rd","Hagley Rd",""
2011,"","Halesowen Rd  Netherton","Halesowen Rd, Netherton",""
2011,"","Halesowen Town Centre","halesowen town centre",""
2011,"","Hampden Close Quarry Bank","Hampden Close,Quarry Bank",""
2011,"","Hereford Rd  Netherton","Hereford Rd, Netherton",""
2011,"","High St Stourbridge","High St Stourbridge",""
2011,"","High St Stourbridge","high st stourbridge",""
2011,"","High St Stourbridge","high st stourbridge",""
2011,"","High St Stourbridge","high st stourbridge",""
2011,"","High St  Dudley","High St, Dudley",""
2011,"","High St  Sedgely","High St, Sedgely",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St","High St",""
2011,"","High St","High St",""
2011,"","High St","High St",""
2011,"","High St   Brierley Hill","High St , Brierley Hill",""
2011,"","High St Blackheath","High St BlackHeath",""
2011,"","High St Quarry Bank","High St quarry bank",""
2011,"","High St Stourbridge","high street stourbridge",""
2011,"","High St Stourbridge","High St Stourbridge",""
2011,"","High St Stourbridge","High St Stourbridge",""
2011,"","High St Stourbridge ","High St Stourbridge.",""
2011,"","High St West Bromwich","High St West Bromwich",""
2011,"","High St  Amblecote","High St, Amblecote",""
2011,"","High St  Smethwick","High St, Smethwick",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","high St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","high St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St  Stourbridge","High St, Stourbridge",""
2011,"","High St Halesowen","High St,Halesowen",""
2011,"","High View St  Dudley","High View St, Dudley",""
2011,"","Hilly Ln  Halesowen","Hilly lane, Halesowen",""
2011,"","Himley Rd Gornal","Himley Rd,Gornal",""
2011,"","Home Address","Home address",""
2011,"","Hope Tavern Netherton","Hope Tavern Netherton",""
2011,"","Hurst Rd  Oldbury","Hurst Rd, Oldbury",""
2011,"","Jackson St  Lye","Jackson St, Lye",""
2011,"","Kfc  Merry Hill Centre  Dudley","KFC, Merry Hill Centre. Dudley",""
2011,"","King St Dudley","King St Dudley",""
2011,"","Kingsley Rd Netherton","Kingsley Rd,Netherton",""
2011,"","Larel Ln Halesowen","Larel Ln Halesowen",""
2011,"","Little Barrel Ph  Dudley","Little Barrel PH, Dudley",""
2011,"","Lloyds Bar Stourbridge","Lloyds bar Stourbridge",""
2011,"","Long Ln  Halesowen","Long Ln, Halesowen",""
2011,"","Lower Derry  St  Brierley Hill","Lower Derry  St, Brierley Hill",""
2011,"","Lower High St  Stourbridge","Lower High St, Stourbridge",""
2011,"","Lupin Rd","Lupin Rd",""
2011,"","Lye High St","Lye high St",""
2011,"","Market St Kingswinford","market street kingswinford",""
2011,"","Market St  Knigswinford ","Market St, Knigswinford.",""
2011,"","Market St  Stourbridge","Market St, Stourbridge",""
2011,"","Market St  Stourbridge","Market St, Stourbridge",""
2011,"","Market St Kingswinford","Market St,Kingswinford",""
2011,"","Marriot Rd","Marriot Rd",""
2011,"","Marriot Rd","Marriot Rd",""
2011,"","Mary Stevens Park","Mary Stevens Park",""
2011,"","Maybrook House Car Park Halesowen","Maybrook House car park Halesowen",""
2011,"","Meadowfields Close  Wordsley","Meadowfields Close, Wordsley",""
2011,"","Merryhill Centre  Brierley Hill","Merryhill Centre, Brierley Hill",""
2011,"","Mill St Sedgley","Mill St,Sedgley",""
2011,"","Mill St Sedgley","Mill St,Sedgley",""
2011,"","Moore St","Moore St",""
2011,"","New Rd  Dudley","New Rd, Dudley",""
2011,"","New Rd Stourbridge","New Rd Stourbridge",""
2011,"","New St Dudley","New St Dudley",""
2011,"","Odeon Cinema   Merry Hill","Odeon Cinema , Merry hill",""
2011,"","Odeon Cinema   Merry Hill","Odeon Cinema , Merry hill",""
2011,"","Outside Santander High St Stourbridge","outside santander high street stourbridge",""
2011,"","Park Rd Wrens Nest","Park Rd Wrens Nest",""
