"Year","Area","Street","Street.2"
2011,"Birmingham","Bristol St",""
2011,"Birmingham","Bristol St",""
2011,"Birmingham","Bristol St South",""
2011,"Birmingham","Bristol St South",""
2011,"Birmingham","Brittania Hotel","brittania hotel"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad st"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad st"
2011,"Birmingham","Broad St","broad st"
2011,"Birmingham","Broad St","broad st"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St   Gas St  City Centre","Broad St @ Gas St, City Centre"
2011,"Birmingham","Broad St Bham","broad st bham"
2011,"Birmingham","Broad St Bham","broad st bham"
2011,"Birmingham","Broad St City Centre",""
2011,"Birmingham","Broad St City Centre Birmingham","Broad St city Centre Birmingham"
2011,"Birmingham","Broad St     Bham","Broad st,    bham"
2011,"Birmingham","Broad St   Bham","broad st,  bham"
2011,"Birmingham","Broad St   Bham","Broad st,  bham"
2011,"Birmingham","Broad St   Bham","Broad st,  bham"
2011,"Birmingham","Broad St   Bham","Broad st,  bham"
2011,"Birmingham","Broad St   Bham","Broad st,  bham"
2011,"Birmingham","Broad St  Bham","Broad st, bham"
2011,"Birmingham","Broad St  Bham","Broad st, bham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","broad St, Birmingham"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St","Broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","Broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St","Broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","Broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","Broad street"
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St",""
2011,"Birmingham","Broad St","Broad street"
2011,"Birmingham","Broad St   City Centre","Broad St , City Centre"
2011,"Birmingham","Broad St Birmingham","broad street birmingham"
2011,"Birmingham","Broad St Birmingham","broad street birmingham"
2011,"Birmingham","Broad St Birmingham",""
2011,"Birmingham","Broad St Opposite Walkabout","Broad St opposite Walkabout"
2011,"Birmingham","Broad St Outside Roccocco","Broad St outside Roccocco"
2011,"Birmingham","Broad St  B Ham","Broad St, B'ham"
2011,"Birmingham","Broad St  B Ham","Broad St, B'ham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad street, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","bROAD STREET, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad St, Birmingham"
2011,"Birmingham","Broad St  Birmingham","Broad street, Birmingham"
2011,"Birmingham","Broad St  Birmingham ","Broad St, Birmingham."
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, City Centre"
2011,"Birmingham","Broad St  City Centre","Broad St, city centre"
2011,"Birmingham","Broad St  City Centre ","Broad St, City Centre,"
2011,"Birmingham","Broad St  City Centre  Birmingham","Broad St, City Centre, Birmingham"
2011,"Birmingham","Broad St  City Centre  Birmingham","Broad St, City Centre, Birmingham"
2011,"Birmingham","Broad St  City Centre  Birmingham","Broad St, City Centre, Birmingham"
2011,"Birmingham","Broad St  City Centre  Birmingham","Broad St, City Centre, Birmingham"
2011,"Birmingham","Broad St  City Centre ","Broad St, City Centre."
2011,"Birmingham","Broad St  City Centre ","Broad St, City Centre."
2011,"Birmingham","Broad St City Centre","Broad St,City centre"
2011,"Birmingham","Broad St City Centre","Broad St,City centre"
2011,"Birmingham","Broad St City Centre","Broad St,City centre"
2011,"Birmingham","Broad St ","Broad St."
2011,"Birmingham","Broad St  Birmingham","Broad St. Birmingham"
2011,"Birmingham","Broad Strret","Broad strret"
2011,"Birmingham","Broadway Plaza  Ladywood Middleway","Broadway Plaza, Ladywood Middleway"
2011,"Birmingham","Bromsgrove St  Birmingham","Bromsgrove street, Birmingham"
2011,"Birmingham","Brookvale Rd Witton",""
2011,"Birmingham","Bull Ring","Bull ring"
2011,"Birmingham","Bull Ring",""
2011,"Birmingham","Bullring  City Centre ","Bullring, City Centre."
2011,"Birmingham","Burford Rd  Kingstanding","Burford Rd, Kingstanding"
2011,"Birmingham","Calshott Rd  Great Barr","Calshott Rd, Great Barr"
2011,"Birmingham","Camborne Close ","Camborne Close."
2011,"Birmingham","Canal Side  Soho Loop  Handsworth","Canal side, soho loop, handsworth"
2011,"Birmingham","Car Park  Avfc","Car park, AVFC"
2011,"Birmingham","Carrs Ln","carrs lane"
2011,"Birmingham","Chiswell Rd",""
2011,"Birmingham","Church Vale Rd","Church Vale road"
2011,"Birmingham","City Hospita Dudley Rd","City Hospita,Dudley Rd"
2011,"Birmingham","City Hospital",""
2011,"Birmingham","City Hospital","City hospital"
2011,"Birmingham","City Hospital",""
2011,"Birmingham","City Hospital",""
2011,"Birmingham","City Hospital",""
2011,"Birmingham","City Hospital",""
2011,"Birmingham","City Hospital",""
2011,"Birmingham","City Hospital Dudley Rd",""
2011,"Birmingham","City Hospital  Birmingham","City Hospital, Birmingham"
2011,"Birmingham","City Hospital  Birmingham","City Hospital, Birmingham"
2011,"Birmingham","City Rd  Birmingham","city road, birmingham"
2011,"Birmingham","City Tavern",""
2011,"Birmingham","City Tavern Bishopsgate Stm","City Tavern Bishopsgate STm"
2011,"Birmingham","Claythorn Ave","claythorn avenue"
2011,"Birmingham","College Rd",""
2011,"Birmingham","Colmore Row",""
2011,"Birmingham","Colmore Row",""
2011,"Birmingham","Colmore Row  Birmingham","Colmore Row, Birmingham"
2011,"Birmingham","Colmore Row  Birmingham ","Colmore Row, Birmingham."
2011,"Birmingham","Constitution Hill  Birmingham","Constitution Hill, Birmingham"
2011,"Birmingham","Corparation St  Birmingham","Corparation St, Birmingham"
2011,"Birmingham","Corporation St",""
2011,"Birmingham","Corporation St",""
2011,"Birmingham","Corporation St",""
2011,"Birmingham","Corporation St","Corporation street"
2011,"Birmingham","Corporation St",""
2011,"Birmingham","Corporation St  Birmingham","Corporation St, Birmingham"
2011,"Birmingham","Corporation St  Birmingham","Corporation St, Birmingham"
2011,"Birmingham","Corporation St  Birmingham","Corporation St, Birmingham"
2011,"Birmingham","Corporation St  City Centre","Corporation St, City Centre"
2011,"Birmingham","Corporation St  City Centre","Corporation St, City Centre"
2011,"Birmingham","Corporation St  City Centre","Corporation St, City Centre"
2011,"Birmingham","Corporation St  City Centre ","Corporation St, City centre,"
2011,"Birmingham","Corporation St ","Corporation street."
2011,"Birmingham","Coventry Entrance Bcfc","Coventry entrance BCFC"
2011,"Birmingham","Coventry Rd","coventry road"
2011,"Birmingham","Coventry Rd  Birmingham City Fc","Coventry Rd, Birmingham City FC"
2011,"Birmingham","Dale End",""
2011,"Birmingham","Dale End","Dale end"
2011,"Birmingham","Dale End",""
2011,"Birmingham","Dale End",""
2011,"Birmingham","Dale End Birmingham","dale end birmingham"
2011,"Birmingham","Dale End City Centre","dale end city centre"
2011,"Birmingham","Dale End  Birmingham","Dale End, Birmingham"
2011,"Birmingham","Dale End  Birmingham","Dale End, Birmingham"
2011,"Birmingham","Dale End  Birmingham","Dale End, Birmingham"
2011,"Birmingham","Ddora Rd   Handsworth","ddora road,  Handsworth"
2011,"Birmingham","Digbeth","digbeth"
2011,"Birmingham","Digbeth Coad Station",""
2011,"Birmingham","Digbeth High St",""
2011,"Birmingham","Digbeth High St",""
2011,"Birmingham","Digbeth High St  City Centre","Digbeth High stReet, city centre"
2011,"Birmingham","Dudley Rd","dudley road"
2011,"Birmingham","Edgbaston St ","Edgbaston St."
2011,"Birmingham","Edgbaston St","edgbaston street"
2011,"Birmingham","Edmund St",""
2011,"Birmingham","Ernest St City Centre Birmingham","Ernest street City Centre Birmingham"
2011,"Birmingham","Essex St","essex st"
2011,"Birmingham","Essex St  Aston ","essex street (aston)"
2011,"Birmingham","Essex St  Birmingham","Essex St, Birmingham"
2011,"Birmingham","Essex St  City Centre","Essex St, City Centre"
2011,"Birmingham","Etap Hotel Foyer  Birmingham","Etap Hotel Foyer, Birmingham"
2011,"Birmingham","Eva Rd",""
2011,"Birmingham","Faisley St City Centre",""
2011,"Birmingham","Five Ways  Birmingham","Five Ways, Birmingham"
2011,"Birmingham","Flood Gate St Birmingham","flood gate street birmingham"
2011,"Birmingham","Formula One Hotel","formula one hotel"
2011,"Birmingham","Fox Hollies Rd",""
2011,"Birmingham","Gas St",""
2011,"Birmingham","Gas St","gas street"
2011,"Birmingham","Gas St","gas street"
2011,"Birmingham","Gas St",""
2011,"Birmingham","Gas St","gas street"
2011,"Birmingham","Gas St City Centre","Gas St,City centre"
2011,"Birmingham","Gatecrasher Broad St","Gatecrasher,Broad St"
2011,"Birmingham","Gatescrasher  Bishopsgate  Birmingham","Gatescrasher, Bishopsgate, Birmingham"
2011,"Birmingham","Golden Hind Ph","golden hind ph"
2011,"Birmingham","Golden Hind Pub Kingstanding Rd",""
2011,"Birmingham","Gooch St North",""
2011,"Birmingham","Grange Rd",""
2011,"Birmingham","Grangers Ln Cradley Heath",""
2011,"Birmingham","Great Charles St  City Centre","Great Charles St, City Centre"
2011,"Birmingham","Grosvenor Casino  Birmingham","Grosvenor Casino, Birmingham"
2011,"Birmingham","Grotersley St",""
2011,"Birmingham","Hagley Rd","HAGLEY ROAD"
2011,"Birmingham","Hall Rd",""
2011,"Birmingham","Hall St",""
2011,"Birmingham","Hamstead Rd  Handsworth","Hamstead Rd, Handsworth"
2011,"Birmingham","Handsworth Park",""
2011,"Birmingham","Handsworth Police Station",""
2011,"Birmingham","Hawthorn Rd  Kingstanding  Birmingham","Hawthorn Rd, Kingstanding, Birmingham"
2011,"Birmingham","Heath Mill Ln",""
2011,"Birmingham","High St Harborne Birmingham",""
2011,"Birmingham","High St    Digbeth","high st,  ~digbeth"
2011,"Birmingham","High St   Digbeth","High st,  digbeth"
2011,"Birmingham","High St  Digbeth","high st, digbeth"
2011,"Birmingham","High St  City Centre ","High St, City Centre."
2011,"Birmingham","High St City Centre","High St,City Centre"
2011,"Birmingham","Hilden Rd","hilden road"
2011,"Birmingham","Hill St  Birmingham","Hill St, Birmingham"
2011,"Birmingham","Hill St",""
2011,"Birmingham","Hill St  Birmingham","Hill St, Birmingham"
2011,"Birmingham","Hill St  City Centre","Hill St, City Centre"
2011,"Birmingham","Hill St  City Centre","Hill St, City Centre"
2011,"Birmingham","Hill St  City Centre","Hill St, City Centre"
2011,"Birmingham","Hill St  City Centre ","Hill St, City Centre."
2011,"Birmingham","Hockley Circus",""
2011,"Birmingham","Holiday Inn  Lionel St ","Holiday Inn, Lionel St."
2011,"Birmingham","Holiday Inn  Smallbrook Queensway ","Holiday Inn, Smallbrook Queensway,"
2011,"Birmingham","Holiday St",""
2011,"Birmingham","Holly Rd",""
2011,"Birmingham","Holte St  Gosta Green","Holte St, Gosta Green"
2011,"Birmingham","Home Address","home address"
2011,"Birmingham","Horsefair",""
2011,"Birmingham","Horsefair Bristol St",""
2011,"Birmingham","Humer Tower Francis St","Humer Tower,Francis St"
2011,"Birmingham","Hurst",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St City Centre Birmingham","Hurst St City centre Birmingham"
2011,"Birmingham","Hurst St   Bham","Hurst st,  bham"
2011,"Birmingham","Hurst St  Birminhgam","Hurst St, Birminhgam"
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St","hurst street"
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St","hurst street"
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St","hurst street"
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St","hurst street"
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St",""
2011,"Birmingham","Hurst St  Birmingham","Hurst St, Birmingham"
2011,"Birmingham","Hurst St  Birmingham","Hurst St, Birmingham"
2011,"Birmingham","Hurst St  Birmingham","Hurst St, Birmingham"
2011,"Birmingham","Hurst St  Birmingham","Hurst St, Birmingham"
2011,"Birmingham","Hurst St  Birmingham","hurst St, Birmingham"
2011,"Birmingham","Hurst St  City Center","Hurst St, City Center"
2011,"Birmingham","Hurst St  City Centre ","Hurst St, City Centre,"
2011,"Birmingham","Hurst St City Centre","Hurst St,City centre"
2011,"Birmingham","Hurst St City Centre","Hurst St,City centre"
2011,"Birmingham","Ibis Hotel","IBIS Hotel"
2011,"Birmingham","Icc","ICC"
2011,"Birmingham","Icc  Broad St","ICC ,broad St"
2011,"Birmingham","In Arcadian Centre Bham","in arcadian centre bham"
2011,"Birmingham","Inge St",""
2011,"Birmingham","Inge St   Hurst St","Inge St @ Hurst St"
2011,"Birmingham","Islington Row  City Centre","Islington Row, city centre"
2011,"Birmingham","Islington Row  Middleway","Islington Row, Middleway"
2011,"Birmingham","James Watt Queensway  Birmingham","James Watt Queensway, Birmingham"
2011,"Birmingham","Kent St",""
2011,"Birmingham","Kingstanding Rd",""
2011,"Birmingham","Kingstanding Rd",""
2011,"Birmingham","Lady Well Walk  City Centre ","Lady well walk, City Centre."
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk","ladywell walk"
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk","Ladywell walk"
2011,"Birmingham","Ladywell Walk","Ladywell walk"
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Ladywell Walk  Birmingham","Ladywell walk, Birmingham"
2011,"Birmingham","Lattimer Place Winson Green",""
2011,"Birmingham","Lee Longlands   Broad St  Birmingham","Lee Longlands,  Broad St, Birmingham"
2011,"Birmingham","Linwood Rd H Worth","Linwood Rd H'worth"
2011,"Birmingham","Lloyds Bar       Broad St","Lloyds Bar¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º Broad St"
2011,"Birmingham","Lloyds Bar  Broad St","Lloyds Bar, Broad St"
2011,"Birmingham","Lodge Rd Winson Green",""
2011,"Birmingham","Loft Lounge","loft lounge"
2011,"Birmingham","Long Acre  Nechells",""
2011,"Birmingham","Lower Bull St","lower bull street"
2011,"Birmingham","Lower Bull St","lower bull street"
2011,"Birmingham","Lower Parade  Sutton","Lower parade, Sutton"
2011,"Birmingham","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
2011,"Birmingham","Macdonalds  Bordesley Green East","Macdonalds, Bordesley Green East"
2011,"Birmingham","Macdonalds  Ramp  City Centre  Birmingham","Macdonalds, ramp, city centre, Birmingham"
2011,"Birmingham","Mailbox  Birmingham","Mailbox, Birmingham"
2011,"Birmingham","Mcdonald St  Birmingham","Mcdonald St, birmingham"
2011,"Birmingham","Millward Close  Small Heath","Millward Close, small Heath"
2011,"Birmingham","Mono Bar  Arcadian Centre","Mono Bar, Arcadian Centre"
2011,"Birmingham","Mono Bar Ladywell Walk  City Centre","Mono Bar,Ladywell Walk, City Centre"
2011,"Birmingham","Moor St","moor st"
2011,"Birmingham","Moor St","moor street"
2011,"Birmingham","Moor St Entance To Bull Ring","Moor St Entance to Bull Ring"
2011,"Birmingham","Moore St  Birmingham","Moore St, Birmingham"
2011,"Birmingham","Moore St  City Centre  Birmingham","Moore St, City Centre, Birmingham"
2011,"Birmingham","Moseley Park Alcester St","Moseley park,Alcester St"
2011,"Birmingham","Navigation St  Birmingham","navigation St, Birmingham"
2011,"Birmingham","Navigation St",""
2011,"Birmingham","Near To Hair   Beauty  Soho Rd","Near to Hair & Beauty, Soho Rd"
2011,"Birmingham","New Meeting St City Centre","New Meeting St,City centre"
2011,"Birmingham","New St",""
2011,"Birmingham","New St B Ham City Centre","New St B'ham City Centre"
2011,"Birmingham","New St City Centre",""
2011,"Birmingham","New St Railway Station","new st railway station"
2011,"Birmingham","New St Railway Station","new st railway station"
2011,"Birmingham","New St Railway Station","new st railway station"
2011,"Birmingham","New St  Birmingham","New St, Birmingham"
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St","New street"
2011,"Birmingham","New St",""
2011,"Birmingham","New St",""
2011,"Birmingham","New St","new street"
2011,"Birmingham","New St",""
2011,"Birmingham","New St   Stephenson St","New St @ Stephenson St"
2011,"Birmingham","New St City Centre  Birmingham","New St city centre, Birmingham"
2011,"Birmingham","New St Railwaty","new street railwaty"
2011,"Birmingham","New St Station","New St station"
2011,"Birmingham","New St Station",""
2011,"Birmingham","New St Station",""
2011,"Birmingham","New St Station",""
2011,"Birmingham","New St Station  Birmingham","New St Station, Birmingham"
2011,"Birmingham","New St Station  Station Approach","New St station, station approach"
2011,"Birmingham","New St  Birmingham","New St, Birmingham"
2011,"Birmingham","New St  Birmingham","New St, Birmingham"
2011,"Birmingham","New St  Birmingham","New St, Birmingham"
2011,"Birmingham","New St  City Centre","New St, City Centre"
2011,"Birmingham","New St  City Centre","New St, City Centre"
2011,"Birmingham","New St  City Centre","New St, City Centre"
2011,"Birmingham","New St  City Centre ","New St, City Centre."
2011,"Birmingham","Newtown Housing Centre",""
2011,"Birmingham","Newtown Row",""
2011,"Birmingham","Next Clearance Store  Corporation St ","Next Clearance Store, Corporation St."
2011,"Birmingham","Nineva Rd Ayt Soho Rd","Nineva road ayt Soho Rd"
2011,"Birmingham","Not Known","Not known"
2011,"Birmingham","O S Bham Crown Court","o/s Bham crown court"
2011,"Birmingham","O S Flairs Broad St","O/s Flairs Broad St"
2011,"Birmingham","O S Flares Club  Broad St  Birmingham","o/s Flares club, Broad St, Birmingham"
2011,"Birmingham","O S Gatecrasher Broad St","O/S Gatecrasher Broad St"
2011,"Birmingham","O S Mcdonalds  Ramp  City Centre","O/S McDonalds, Ramp, City Centre"
2011,"Birmingham","O S New St Station","O/s new street station"
2011,"Birmingham","O S Oceania  Ladywell Walk  Birmingham","O/S Oceania, Ladywell Walk, Birmingham"
2011,"Birmingham","O S Reflex Broad St  City Centre","o/s Reflex Broad St, City Centre"
2011,"Birmingham","O S The Crown Ph Station Rd","o/s The Crown PH Station Rd"
2011,"Birmingham","O S Walkabout Broad St","O/s Walkabout Broad St"
2011,"Birmingham","O2 Academy","o2 Academy"
2011,"Birmingham","O2 Academy  Horsefair ","O2 Academy, Horsefair."
2011,"Birmingham","Oh Bar  Broad St  Birmingham","Oh Bar, Broad St, Birmingham"
2011,"Birmingham","O Neils  Broad St  Birmingham","O'Neils, Broad St, Birmingham"
2011,"Birmingham","Os Birmingham Magistrates Court","OS Birmingham Magistrates Court"
2011,"Birmingham","Os Dubliner Ph","os dubliner ph"
2011,"Birmingham","Outside Bliss  Broad St",""
2011,"Birmingham","Outside Bliss Nightclub ","Outside Bliss nightclub."
2011,"Birmingham","Outside Bliss Nightclub ","Outside Bliss nightclub."
2011,"Birmingham","Outside Bliss Broad St","Outside Bliss,Broad St"
2011,"Birmingham","Outside O Velvet  Broad St ","Outside O Velvet, Broad St."
2011,"Birmingham","Outside Oceana Club",""
2011,"Birmingham","Outside Reflex Nightclub","outside reflex nightclub"
2011,"Birmingham","Outside Revolution Bridge St Walsal",""
2011,"Birmingham","Outside Rocket Club Broad St","outside rocket club broad st"
2011,"Birmingham","Outside Walkabout Broad St","Outside walkabout,Broad St"
2011,"Birmingham","O Velvet  Nightclub  Broad St  Birmingham","O'Velvet, Nightclub, Broad St, Birmingham"
2011,"Birmingham","Oxhill Rd",""
2011,"Birmingham","Pagoda Island",""
2011,"Birmingham","Paradise Forum","paradise forum"
2011,"Birmingham","Paradise Forum City Centre Birmingham",""
2011,"Birmingham","Paradise Forum  Victoria Square  Birmingham","Paradise Forum, Victoria Square, Birmingham"
2011,"Birmingham","Pershore St Car Park","Pershore St car park"
2011,"Birmingham","Pershore St Rd  City Centre","Pershore St Rd, City Centre"
2011,"Birmingham","Pershore St  City Centre ","Pershore St, City Centre."
2011,"Birmingham","Pizza Hut  New St  Birmingham","Pizza Hut, New St, Birmingham"
2011,"Birmingham","Quigley Ave",""
2011,"Birmingham","Rag Market  City Centre","Rag market, city centre"
2011,"Birmingham","Reflex On Broad St  Birmingham","Reflex on Broad St, Birmingham"
2011,"Birmingham","Regency Wharf","regency wharf"
2011,"Birmingham","Risa Bar  Birmingham","Risa Bar, Birmingham"
2011,"Birmingham","Risa Broad St","Risa,Broad St"
2011,"Birmingham","Rookery Rd  Handsworth","Rookery Rd, Handsworth"
2011,"Birmingham","Rottersley St  Birmingham","Rottersley St, Birmingham"
2011,"Birmingham","Rotunda Island  City Centre","Rotunda Island, City CEntre"
2011,"Birmingham","Sainsburys Colmore Row",""
2011,"Birmingham","Sandringham Rd",""
2011,"Birmingham","Sandwell Hospital",""
2011,"Birmingham","Sence In The Arcadian","Sence in the Arcadian"
2011,"Birmingham","Sense Nightclub  Arcadia  Birmingham","Sense Nightclub, Arcadia, Birmingham"
2011,"Birmingham","Shadwell St",""
2011,"Birmingham","Shakespeare Bar  New St Station ","Shakespeare Bar, New St Station."
2011,"Birmingham","Shakespeare Ph  New St Station","Shakespeare PH, New St Station"
2011,"Birmingham","Sheepcote St  Birmingham","Sheepcote St, Birmingham"
2011,"Birmingham","Sioho Rd  Handsworth","Sioho Rd, Handsworth"
2011,"Birmingham","Slade Rd  Erdington","Slade Rd, erdington"
2011,"Birmingham","Small Brook Queensway","Small brook Queensway"
2011,"Birmingham","Smallbrook Queensway",""
2011,"Birmingham","Smallbrook Queensway","smallbrook queensway"
2011,"Birmingham","Smallbrook Queensway","smallbrook queensway"
2011,"Birmingham","Smallbrook Queensway City Centre Birmingham",""
2011,"Birmingham","Smallbrook Queensway City Centre","Smallbrook Queensway,City centre"
2011,"Birmingham","Smethwick End","smethwick end"
2011,"Birmingham","Soho Hill","soho hill"
2011,"Birmingham","Soho Hill  Handsworth  Birmingham","Soho Hill, Handsworth, Birmingham"
2011,"Birmingham","Soho Rd",""
2011,"Birmingham","Soho Rd",""
2011,"Birmingham","Soho Rd",""
2011,"Birmingham","Soho Rd","soho road"
2011,"Birmingham","Sommerfield Park  Winson Green","Sommerfield Park, Winson Green"
2011,"Birmingham","Square Peg Ph","square peg PH"
2011,"Birmingham","Square Peg Corporation St","Square Peg,Corporation St"
2011,"Birmingham","Star City  Aston ","Star city, Aston."
2011,"Birmingham","Star City  Birmingham","Star City, Birmingham"
2011,"Birmingham","Star City  Nechells","Star City, Nechells"
2011,"Birmingham","Station Rd  City Centre","Station Rd, City Centre"
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln","steelhouse lane"
2011,"Birmingham","Steelhouse Ln","steelhouse lane"
2011,"Birmingham","Steelhouse Ln",""
2011,"Birmingham","Steelhouse Ln Police Station","Steelhouse Ln Police station"
