"Year","Area","Street","Street.2"
2011,"Birmingham","Ladypool Rd","ladypool Rd"
2011,"Birmingham","Ladywell Walk",""
2011,"Birmingham","Lea Hall Rd","Lea Hall RD"
2011,"Birmingham","Lea Hall Rd","Lea Hall rd"
2011,"Birmingham","Lea Vlg  Stechford","Lea Vlg, Stechford"
2011,"Birmingham","Lenches Close  Mosley","Lenches Close, Mosley"
2011,"Birmingham","Lime Tree Rd",""
2011,"Birmingham","Lode Ln   Hermitage Rd","Lode Ln @ Hermitage Rd"
2011,"Birmingham","Long St","Long street"
2011,"Birmingham","Long St  Sparkhill","Long St. Sparkhill"
2011,"Birmingham","Longbridge Ln",""
2011,"Birmingham","Longmeadow Crescent Shard End   Bham","LONGMEADOW CRESCENT SHARD END , BHAM"
2011,"Birmingham","Maccadown Ln",""
2011,"Birmingham","Masshouse Ln","masshouse lane"
2011,"Birmingham","Meadwaym Stechford",""
2011,"Birmingham","Mickleover Rd  Bromford","Mickleover Rd, Bromford"
2011,"Birmingham","Moorcroft Rd","moorcroft road"
2011,"Birmingham","Moseley Rd",""
2011,"Birmingham","Moseley Rd","moseley road"
2011,"Birmingham","Moseley Rd","moseley road"
2011,"Birmingham","Moseley Rd","moseley road"
2011,"Birmingham","Moseley Vlg",""
2011,"Birmingham","Moseley Vlg",""
2011,"Birmingham","Moseley Vlg  Alcester Rd","Moseley Vlg, Alcester road"
2011,"Birmingham","Mosley All Services Club  Church Rd  Moseley ","Mosley All Services Club, Church Rd, Moseley."
2011,"Birmingham","Nearlands Close Quinton",""
2011,"Birmingham","New St","new street"
2011,"Birmingham","Northfield High St",""
2011,"Birmingham","O S Behans  Highfield Rd  Billesley","O/S BEHANS, HIGHFIELD ROAD, BILLESLEY"
2011,"Birmingham","O S The Junction  Mosley Vlg","O/S The junction, Mosley Vlg"
2011,"Birmingham","O S Washwood Heath Rd","O/S Washwood Heath road"
2011,"Birmingham","Oakhill Rd  Acocks Green","Oakhill Rd, Acocks Green"
2011,"Birmingham","Opp White Hart Ln Cooks Ln","Opp white hart lane cooks lane"
2011,"Birmingham","Opposite  Aldi  Stratford Rd","Opposite, ALDI, Stratford Rd"
2011,"Birmingham","Outside Java Lounge Alcester Rd","Outside Java lounge Alcester Rd"
2011,"Birmingham","Outside O2 Academy Night Club B Ham City Centre","Outside O2 Academy Night Club B'ham City Centre"
2011,"Birmingham","Outside Raven Public House","outside raven public house"
2011,"Birmingham","Packington Ave  Shard End","Packington Ave, Shard End"
2011,"Birmingham","Park Off Hob Moor Rd","park off hob moor road"
2011,"Birmingham","Parkhall Croft",""
2011,"Birmingham","Pear Tree Ph","Pear Tree PH"
2011,"Birmingham","Police Station","Police station"
2011,"Birmingham","Police Station Stechford",""
2011,"Birmingham","Poplar Rd","poplar road"
2011,"Birmingham","Poplar Rd","Poplar road"
2011,"Birmingham","Poplar Rd   Solihull","poplar road , solihull"
2011,"Birmingham","Poplar Rd  Solihull","poplar road, solihull"
2011,"Birmingham","Preston Rd",""
2011,"Birmingham","Priory Rd  Hall Green","Priory Rd, Hall Green"
2011,"Birmingham","Prospect Rd","prospect road"
2011,"Birmingham","Queenswood Rd","queenswood road"
2011,"Birmingham","Rear Of Boots  High St","rear of boots, high street"
2011,"Birmingham","Reddings Ln  Tsyley","REDDINGS LANE, TSYLEY"
2011,"Birmingham","Richmond Primary Care Centre  Richmond Rd  Stechford","Richmond Primary Care Centre, Richmond Rd, Stechford"
2011,"Birmingham","Ring Rd  Stourbridge","ring road, stourbridge"
2011,"Birmingham","Sainsburys  Wawrick Rd","sainsburys, wawrick road"
2011,"Birmingham","Sainsburys  Alcester Rd South","sainsburys. alcester road south"
2011,"Birmingham","Sandford Rd Moseley",""
2011,"Birmingham","Sarehole Mill",""
2011,"Birmingham","Sedgemere Rd",""
