"","Year","Area","Street","Street.2"
"346",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"347",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"348",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"349",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"350",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"351",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"352",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"353",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"354",2011,"","Lower Parade  Sutton Coldfield","Lower Parade, Sutton Coldfield"
"355",2011,"","Lower Parade  Sutton Coldfield Town Centre","Lower Parade, Sutton Coldfield town centre"
"356",2011,"","Lower Parade  Sutton Coldfield Town Centre","Lower Parade, Sutton Coldfield town Centre"
"357",2011,"","Lower Parade  Sutton Coldfield ","Lower Parade, Sutton Coldfield."
"358",2011,"","Lydham Close","lydham close"
"359",2011,"","Mill St","Mill St"
"360",2011,"","Mill St  Sutton Coldfield","Mill St, Sutton Coldfield"
"361",2011,"","Moor Hall Hotel","moor hall hotel"
"362",2011,"","Mulberry Court Carpark  Kings Rd  Kingstanding  Birmingham","Mulberry Court Carpark, Kings Rd, Kingstanding, Birmingham"
"363",2011,"","Newhall Walk Car Park","newhall walk car park"
"364",2011,"","Newhall Walk Car Park","newhall walk car park"
"365",2011,"","O S H A","O/S H/A"
"366",2011,"","O S Litten Tree","O/s Litten Tree"
"367",2011,"","O S Litten Tree  S C Town Centre","O/S Litten Tree, S/C Town Centre"
"368",2011,"","O S Moomoo Bar  S C Town Centre","O/S MooMoo Bar, S/c Town Centre"
"369",2011,"","O S Moomoo Bar  South Parade","o/s moomoo bar, South parade"
"370",2011,"","O S Retro","o/s retro"
"371",2011,"","O S Retro   South Parade","O/S Retro , South parade"
"372",2011,"","O S Retros","O/S Retros"
"373",2011,"","O S Royal Hotel  Lichfield Rd","O/S Royal Hotel, Lichfield Rd"
"374",2011,"","O S Temple Bar","o/s temple bar"
"375",2011,"","O S Temple Bar","O/S Temple Bar"
"376",2011,"","O S Temple Bar  High St","O/S Temple Bar, High St"
"377",2011,"","O S Temple Bar  Lower Parade Sutton Coldfield ","O/s Temple Bar, Lower Parade Sutton Coldfield."
"378",2011,"","O S Temple Bar  S C Town Centre","O/S Temple Bar, S/C Town Centre"
"379",2011,"","O S Temple Bar  Sutton Coldfield  West Milands","o/s temple bar, sutton coldfield, west milands"
"380",2011,"","O S The Hairy Lemon","o/s the hairy lemon"
"381",2011,"","On Pavement Outside The Royal Hotel","On pavement outside The Royal Hotel"
"382",2011,"","Ourtside Royal Pub  Lichfield Rd  Sutton Coldfield","Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield"
"383",2011,"","Outside Glendale Tower  Lyndhurst Estate","outside Glendale Tower, Lyndhurst Estate"
